ALGORITHM, WINDOW, DIM, NS, WORDSIM, MSR, BATS TOTAL, BATS IM, BATS DM, BATS ES, BATS LS
W2V,2,50,1,0.3024132543117382,0.6707246376811594,0.011942421317421318,0.016369047619047616,0.002702702702702703,0.007142857142857143,0.02155507780507781
W2V,2,50,5,0.46494567734974623,0.6776811594202898,0.011274885158813731,0.012287414965986393,0.0,0.00992063492063492,0.022891490748633607
W2V,2,50,15,0.45650591096618653,0.672463768115942,0.019137416637416638,0.021496598639455782,0.0023809523809523807,0.018416988416988418,0.03425512711226997
W2V,2,100,1,0.3155204079610647,0.6718840579710145,0.008927108927108927,0.012244897959183673,0.0023809523809523807,0.005405405405405406,0.01567717996289425
W2V,2,100,5,0.46100736755650906,0.6811594202898551,0.012494581780296065,0.01854875283446712,0.0,0.002702702702702703,0.028726871584014445
W2V,2,100,15,0.4745581118204958,0.6753623188405797,0.007673823522037807,0.00820578231292517,0.0023809523809523807,0.0035714285714285713,0.01653713082284511
W2V,2,300,1,0.28108274857960824,0.6794202898550724,0.01093749024999025,0.018691043083900228,0.0,0.007142857142857143,0.01791606077320363
W2V,2,300,5,0.4523110739140963,0.6828985507246377,0.008016017873160731,0.01238548752834467,0.0,0.0035714285714285713,0.01610715539286968
W2V,2,300,15,0.4472282729408201,0.6759420289855073,0.011054978912121769,0.026303854875283444,0.0,0.0,0.01791606077320363
W2V,5,50,1,0.37962385009419275,0.6701449275362319,0.00827906930585502,0.00838718820861678,0.0,0.006349206349206349,0.018379882665596953
W2V,5,50,5,0.4635824237933552,0.673623188405797,0.009169159202156095,0.01056689342403628,0.0,0.0035714285714285713,0.022538314813159536
W2V,5,50,15,0.4365711405028577,0.6678260869565218,0.01526483379737988,0.01945578231292517,0.0,0.021372247823860727,0.020231305052733625
W2V,5,100,1,0.35724258053289387,0.6672463768115942,0.007814603216388931,0.012553854875283446,0.0,0.009845559845559845,0.00885899814471243
W2V,5,100,5,0.47103873784816197,0.6678260869565218,0.011126742466028182,0.021581632653061223,0.0,0.0,0.022925337211051493
W2V,5,100,15,0.4789034213836904,0.6684057971014493,0.007474963817129716,0.01056689342403628,0.0,0.002702702702702703,0.01663025914177988
W2V,5,300,1,0.3579710709865244,0.6753623188405797,0.005321325499896928,0.00834467120181406,0.0,0.0,0.012940630797773656
W2V,5,300,5,0.4945484534062611,0.6678260869565218,0.008166573794453978,0.013333333333333332,0.0,0.0032258064516129032,0.016107155392869676
W2V,5,300,15,0.4426896384868958,0.664927536231884,0.009820614198494382,0.02222222222222222,0.0,0.0032258064516129032,0.013834428120142406
W2V,10,50,1,0.4013756397228219,0.6620289855072464,0.009133127082435839,0.008526077097505668,0.0,0.010714285714285714,0.01729214551795197
W2V,10,50,5,0.42945157962309743,0.6701449275362319,0.009771655670273181,0.008163265306122448,0.0,0.013631211857018311,0.01729214551795197
W2V,10,50,15,0.40252658811074965,0.68,0.014460720445743485,0.00834467120181406,0.0,0.02835634335634336,0.02114186722481653
W2V,10,100,1,0.42544106650528607,0.672463768115942,0.009770658877801736,0.006122448979591836,0.0,0.006274131274131274,0.026686055257483833
W2V,10,100,5,0.4389088454315508,0.663768115942029,0.010376086631847001,0.017414965986394557,0.0,0.006274131274131274,0.01781524926686217
W2V,10,100,15,0.4152157843040044,0.6742028985507247,0.009519088182682654,0.023718820861678,0.0,0.0,0.014357531869052606
W2V,10,300,1,0.4086454774407204,0.6730434782608695,0.008752444466730182,0.0,0.0,0.007142857142857143,0.027866920724063583
W2V,10,300,5,0.4108419064877262,0.6672463768115942,0.010058883993215788,0.02222222222222222,0.0,0.0032258064516129032,0.014787507299028035
W2V,10,300,15,0.42118185304727473,0.6730434782608695,0.008671624299504481,0.026485260770975055,0.0,0.0032258064516129032,0.0049754299754299755
SVD,2,50,N/A,0.1415404159350459,0.6405797101449275,0.022842220286405934,0.022326530612244898,0.007496041895018876,0.03816322136089578,0.023383087277464177
SVD,2,100,N/A,0.17733248046802152,0.6428985507246376,0.030592023260454203,0.04061224489795918,0.002173913043478261,0.040010905504153815,0.03957102959622556
SVD,2,300,N/A,0.2546103084668956,0.6342028985507246,0.008614648360277295,0.010204081632653062,0.0,0.010882352941176471,0.01337215886727965
SVD,5,50,N/A,0.316635726983459,0.6463768115942029,0.026102764072393682,0.00820929222752931,0.0,0.043229075985573934,0.05297268807647147
SVD,5,100,N/A,0.3149319393988217,0.6452173913043479,0.020887496346792753,0.016331741207121143,0.0,0.027941701228294934,0.039276542951754916
SVD,5,300,N/A,0.3555375831443065,0.6446376811594203,0.006963084610880963,0.00820929222752931,0.0,0.0,0.019643046215994546
SVD,10,50,N/A,0.36620645472808266,0.6568115942028986,0.01577847699305538,0.018418584455058618,0.0,0.01844720575568729,0.02624811776147562
SVD,10,100,N/A,0.36321115452104635,0.6492753623188405,0.019573917813814137,0.01676074685193226,0.004545454545454545,0.026350762527233118,0.030638707330636623
SVD,10,300,N/A,0.3965435058325891,0.6573913043478261,0.00396710110260354,0.0,0.0,0.00902583255524432,0.006842571855169839
